카테고리,세부,브랜드,제품명,태그,용량/가격,별점,리뷰수,이미지,제품링크
크림,안티에이징크림,에르쯔틴,리제너레이티브 실트크림,"#보습, #수분공급, #영양공급, #저자극, #주름개선, #피부보호, #피부진정, #피부탄력","50g / 45,000원",4.62,리뷰 364,https://dn5hzapyfrpio.cloudfront.net/product/8f3/8f386710-f38d-11ed-aabe-5526e8e7b55e.jpeg,https://www.glowpick.com/products/26885
크림,안티에이징크림,라라클라라,엑소 에이지 엠티에스 펩타이드 크림,"#기능성, #모공관리, #미백, #영양공급, #저자극, #주름개선, #피부장벽강화, #피부탄력","50g / 55,000원",4.61,리뷰 137,https://dn5hzapyfrpio.cloudfront.net/product/2f1/2f126750-f2e2-11ee-aa68-9b27569b5473.jpeg,https://www.glowpick.com/products/172206
크림,안티에이징크림,더페이스샵,올티밋 비건 뮤신 펩타이드 8 크림,"#비건뷰티, #주름개선, #클린뷰티, #피부탄력","50ml / 19,000원",4.59,리뷰 103,https://dn5hzapyfrpio.cloudfront.net/product/7d3/7d378850-2fa7-11ef-92db-2bff1ddce787.jpeg,https://www.glowpick.com/products/173625
크림,안티에이징크림,에스티 로더,리바이탈라이징 수프림 플러스 유스 파워 크림,"#기능성, #보습, #영양공급, #주름개선, #피부장벽강화, #피부탄력","30ml / 118,000원",4.58,리뷰 180,https://dn5hzapyfrpio.cloudfront.net/product/d57/d5756710-7d8b-11ec-a0c7-67853665ac7f.jpeg,https://www.glowpick.com/products/154211
크림,안티에이징크림,엠퀴리,코어 파워 크림,"#기능성, #보습, #주름개선, #피부장벽강화, #피부탄력","50ml / 69,000원",4.54,리뷰 138,https://dn5hzapyfrpio.cloudfront.net/product/b3a/b3a9d100-b0ea-11ed-96c0-a119a32d34ce.jpeg,https://www.glowpick.com/products/153360
크림,안티에이징크림,셀블룸,드래곤 리제너레이트 크림,"#미백, #보습, #영양공급, #저자극, #주름개선, #피부장벽강화, #피부재생, #피부진정, #피부탄력","50ml / 45,900원",4.56,리뷰 80,https://dn5hzapyfrpio.cloudfront.net/product/fdd/fddf8e00-1480-11ee-a064-8f0bbb530807.jpeg,https://www.glowpick.com/products/116847
크림,안티에이징크림,아이오페,스템3 크림,"#기능성, #미백, #수분공급, #영양공급, #윤기, #저자극, #주름개선, #피부진정, #피부탄력","40ml / 70,000원",4.55,리뷰 80,https://dn5hzapyfrpio.cloudfront.net/product/50c/50c83d30-8094-11ef-afdf-29f4b05fa437.jpeg,https://www.glowpick.com/products/156174
크림,안티에이징크림,브이앤코,브이 코어텍틴 크림,"#보습, #수분공급, #영양공급, #저자극, #피부탄력","50g / 30,000원",4.53,리뷰 114,https://dn5hzapyfrpio.cloudfront.net/product/39e/39ee6b40-1f6f-11ec-9885-f3f24756cc29.jpeg,https://www.glowpick.com/products/151092
크림,안티에이징크림,더후,비첩 자윤 크림,"#보습, #수분공급, #영양공급, #윤기부여, #피부재생","50ml / 220,000원",4.53,리뷰 81,https://dn5hzapyfrpio.cloudfront.net/product/a15/a153f9e0-10f2-11ef-b21d-5784d8336332.jpeg,https://www.glowpick.com/products/43815
크림,안티에이징크림,센텔리안24,더 마데카 크림,"#기능성, #미백, #보습, #저자극, #주름개선, #피부진정, #피부탄력","50ml / 35,000원",4.5,리뷰 365,https://dn5hzapyfrpio.cloudfront.net/product/a7a/a7ad17b0-a7db-11ef-86b1-4d39b8048b54.jpeg,https://www.glowpick.com/products/153941
크림,안티에이징크림,달바,화이트 트러플 더블 세럼 앤 크림,"#기능성, #비건뷰티, #수분공급, #영양공급, #저자극, #주름개선, #크루얼티프리, #클린뷰티, #피부진정, #피부탄력","70g / 78,000원",4.52,리뷰 417,https://dn5hzapyfrpio.cloudfront.net/product/4dc/4dc02b60-5cad-11ec-aca6-5b8ff857a9fe.jpeg,https://www.glowpick.com/products/153189
